Var1,Var2,Var3
1,18.304260118348,3021
2,14.1659292595852,3041
3,14.0253774897001,3044
4,13.582174059966,3044
5,13.2997828213983,3015
6,15.433228546552,3039
7,16.3256321761667,3000
8,13.8188992306563,3023
9,16.8635405773257,1696
10,13.3088399142482,3025
11,13.1220551217788,3000
12,17.7077486631385,3003
13,15.6873235622965,3041
14,14.2169443369474,3011
15,14.3975103473965,3000
16,16.3374536699067,3019
17,13.8245024497731,3000
18,14.7857786173018,3039
19,16.0630004902777,3020
20,18.099919645032,3014
21,13.8520658471795,3025
22,16.1111360886904,3025
23,15.4252281662289,3004
24,15.9310800928003,3047
25,13.3775739562249,3027
26,15.0621720798063,3026
27,13.7180007003876,3015
28,13.5974835315594,3031
29,17.6332549209302,1713
30,14.0595941709513,3047
31,13.897585734252,3000
32,13.8595810251111,3024
33,13.8628254110676,3038
34,13.9788717433094,3002
35,13.4755748769553,3022
36,15.5246999147704,3013
37,13.6757477266617,3042
38,14.1466328053895,3009
39,14.4294395403263,2996
40,17.0761279748815,3000
41,13.9255293109178,3000
42,14.0571861715421,3029
43,16.8735452089262,3017
44,14.0940757196834,3005
45,15.3306190219343,3000
46,14.9859711960593,3002
47,13.4218372732823,3021
48,17.4943816921607,3022
49,14.7616630476676,3034
50,15.0784660795739,3010
51,16.5695600513817,3003
52,13.8722311625366,3001
53,15.7829192745467,3011
54,16.8098977615215,3030
55,15.549378837628,3005
56,15.2217230383398,3012
57,14.2185052107748,3041
58,15.9716287339249,3046
59,13.675039486077,3017
60,14.3521561303578,3026
61,13.7938960493171,3028
62,13.709408532243,3005
63,13.8755996160426,3047
64,14.8934882112033,3043
65,13.4857341686958,3017
66,13.6931260683951,3043
67,14.7874758765455,3033
68,16.1291735963714,3010
69,14.1918353868122,3019
70,14.6686264657946,3014
71,16.4142494588227,3042
72,15.2399509951867,3023
73,14.0617977394646,3013
74,15.4606685663434,3023
75,13.9732774329892,3030
76,15.08731791223,3048
77,13.4847004872251,3031
78,16.535595652174,3019
79,14.3125711367426,3026
80,16.9780391511132,3009
81,13.4494342048538,3006
82,14.5615642933869,3039
83,15.8177699055281,3042
84,16.8846092884928,3000
85,13.62765906049,3012
86,13.7563294285043,3020
87,14.2800000309661,3018
88,13.9153939759314,3013
89,15.320559472687,3029
90,18.0842151858216,2052
91,14.0560742799447,3048
92,13.7935511990179,3018
93,16.0695296314983,3036
94,16.4273248329744,1914
95,13.8474684254514,3041
96,16.7619039483681,3009
97,14.0735977425086,2488
98,15.3892330189013,3009
99,16.0495311234346,3001
100,16.5208349622261,3026
101,14.016549698041,3000
102,13.7234749444756,3002
103,15.2886467117354,3032
104,14.5700393813892,3034
105,13.3243430255014,3000
106,13.9200106406916,3000
107,15.6236797096515,3012
108,14.1427341103467,3035
109,15.0017399902456,3044
110,13.6771100254019,3029
111,15.2349239596511,3002
112,15.1000428355981,3024
113,13.9091940004011,3000
114,16.7437662193521,3014
115,13.8468354866366,3013
