K,N,G-Efficiency,Design
2,6,74.86494,[ -0.50155 -1; 0.16916 0.20763; -0.85708 0.9663; -1 -0.54074; 1 -0.83173; 1 0.99999 ]
2,7,79.14014,[ 0.98225 -0.96748; -0.10098 1; -1 0.87; 0.52937 -0.0057202; -1 -0.5202; 1 0.95011; -0.691 -1 ]
2,8,87.93848,[ 0.027655 -0.99635; -1 1; -1 -1; 1 -0.99996; 0.82793 0.02806; -0.82971 -0.034304; 1 1; -0.024386 0.99999 ]
2,9,86.34291,[ 1 1; -1 1; -1 -1; 1 0.41962; 0.42013 -1; -1 -0.42008; 0.0011704 -0.00325; -0.41957 1; 1 -1 ]
2,10,87.23972,[ -1 -0.99792; -0.17957 -0.14909; 0.54003 -0.99999; -1 1; -1 0.53041; 1 -1; -0.62112 -0.99726; 1 1; 0.2492 1; 1 0.28771 ]
2,11,86.86015,[ -1 1; 1 1; 0.021113 0.92962; 1 -0.99999; 0.40261 -1; -0.057479 -0.017678; 0.99741 0.65908; 0.99997 -0.39796; -0.99449 -0.99998; -0.9995 -0.69438; -1 0.65872 ]
2,12,88.09517,[ -0.0047096 -0.11373; 1 -1; 0.99996 0.23583; -0.99999 -1; 0.63697 1; -0.64618 1; -0.0067653 -0.90534; 1 1; -1 -1; -1 1; -1 0.22427; 0.96764 -1 ]
3,10,70.89759,[ 0.84674 -0.91445 -1; 0.97026 0.88804 1; 1 0.99958 -0.71439; -0.99998 -0.3669 1; -0.023098 0.10529 -0.55789; -0.99999 -0.99999 -0.63908; 1 -0.78647 0.55333; -0.81291 1 0.67617; -1 0.85675 -0.99999; -0.0088879 -0.99992 1 ]
3,11,79.49329,[ 0.98607 0.90456 0.98328; 1 0.88218 -1; -1 -0.99999 -0.99958; 0.045374 1 0.044424; -0.99976 0.88381 1; 1 -1 -0.68321; -1 -0.3033 0.10145; 0.13385 -0.31294 -1; -1 0.98936 -0.97814; -0.69055 -1 0.99993; 0.98781 -0.73212 0.99185 ]
3,12,80.14482,[ -0.95836 -0.99998 0.76203; -0.16664 1 0.068249; -0.14153 0.99987 1; 1 0.82061 1; 0.76676 -1 1; -1 1 -0.87277; 1 -0.23607 0.12437; 1 -0.99999 -0.88628; -1 -0.99207 -0.99653; -1 0.59752 0.99949; 0.99903 1 -0.99999; 0.03571 0.013154 -1 ]
3,13,86.3212,[ 1 0.99988 -0.014122; 0.99999 -1 -0.97577; -0.99995 0.98226 0.95986; 0.82348 0.90925 -1; -0.99999 0.23188 0.33641; -1 -1 -1; 0.93385 -0.99999 0.94996; 0.99997 0.53562 0.99999; -0.99998 0.98338 -0.99999; 0.33111 0.088321 -1; -0.9939 -1 1; -0.10153 -1 -0.14956; 0.028716 0.99686 0.99999 ]
3,14,85.60002,[ 0.99999 -0.017931 0.035468; -0.99996 0.82473 0.9999; 0.053967 -0.56127 -0.99999; 1 -1 1; -0.76116 0.99997 -1; -1 -1 -0.8218; 1 1 0.99999; 0.22576 -1 0.28896; -0.78316 0.99993 0.11767; 1 1 -1; -1 0.083357 -0.99824; 1 -1 -1; -0.99999 -0.96473 1; 0.10501 0.39617 1 ]
3,15,85.81295,[ -0.99999 1 1; 0.93627 0.99977 -1; -0.9927 0.4135 0.56954; -0.045798 -1 -0.99999; 0.13586 -0.27315 1; -1 -0.6257 -0.99999; 1 -1 -0.66981; -0.99998 -0.98224 -0.16058; 0.99999 -1 1; -1 1 -0.99999; 1 0.6718 0.32013; 1 1 1; -0.15194 0.96574 -0.17166; 1 -0.18014 -0.97421; -0.99994 -0.99997 1 ]
3,16,84.08145,[ -1 0.99997 -0.050551; 1 1 1; 0.99998 -0.43988 0.89893; 0.034764 0.26086 -0.99999; -1 -1 1; 1 -0.9294 -0.99999; 1 1 -1; -0.99998 0.27706 1; -0.2576 -0.99999 -0.3373; 0.63121 -1 1; 0.56439 0.91712 -0.14123; 1 -0.99105 -0.25527; -0.99999 1 -1; -1 -0.34815 -0.24006; -0.63123 1 1; -0.99999 -1 -1 ]
