Var1,Var2,Var3
1,7.69538399046068,1598
2,7.79748937659866,979
3,7.66859957709047,1722
4,7.75769784968639,1108
5,7.85501590975116,1653
6,8.60172563292164,2692
7,7.94525734444184,1848
8,8.8565661735418,1032
9,7.86741531868424,797
10,7.99198546860469,1607
11,7.80264036597616,1989
12,7.75669151967453,1831
13,7.67388668561882,773
14,8.47864084849861,830
15,7.77556870613969,1149
16,7.920049687056,1281
17,8.84051799077581,1352
18,7.87951570401355,1157
19,7.67366074747727,959
20,8.61094625303839,2183
21,8.1538812205804,1772
22,8.44305051132653,742
23,9.26360577528704,1603
24,8.45203087726279,3009
25,7.86026085650608,2050
26,7.93906742512504,3006
27,7.94535783686032,1291
28,7.66317459924925,1363
29,7.7015497406822,666
30,7.9184619944147,1380
31,7.99476017991498,1059
32,9.92871081170666,442
33,8.82594903707463,1018
34,7.70787710180413,1193
35,7.92909549471546,1180
36,7.76821887936877,1132
37,8.76571097186551,1054
38,7.73612220258402,1102
39,8.92765429414736,1336
40,7.93882306033901,1070
41,8.69220860824919,1907
42,7.92494036923449,1279
43,7.87548122578537,1832
44,7.92742023054509,1103
45,8.27413616966845,1155
46,9.16405520090409,1131
47,7.71472455231082,1489
48,8.38875792775846,618
49,7.66861312323398,1120
50,7.95010236493107,1885
51,8.39058380744769,630
52,7.7227322777234,949
53,8.11066271743421,884
54,7.67141349777356,1479
55,7.72251854051931,902
56,7.83370010838381,2098
57,9.10395625392383,1211
58,7.81256367032633,1874
59,8.50049194604685,1122
60,8.46869628248965,299
61,8.57233210278435,1094
62,7.96454253112784,1744
63,7.69351401819463,1232
64,9.16897900362217,1031
65,7.89746671716446,2022
66,7.95960584533019,836
67,7.91855372290364,1245
68,7.93400213249705,1253
69,7.85491458854989,1647
70,7.68066062279914,1674
71,8.4285204836243,1105
72,7.68127779640543,1581
73,7.98590037664531,1253
74,7.67896394011691,1290
75,8.50702360162452,540
76,7.90506100499434,2368
77,7.65962697244761,1976
78,7.94755864211172,926
79,7.85640534480731,1972
80,7.76498938456648,2001
81,8.98547921926852,1776
82,7.6124248499726,946
83,7.71994990826029,1639
84,7.92393623870089,828
85,8.87500625510196,1645
86,7.90035446829907,1034
87,7.93099929025836,1314
88,7.88055698187678,1511
89,7.86070839487022,1578
90,7.68852821774728,2197
91,7.93657510169333,2298
92,7.89066205044462,864
93,8.21468305613101,1912
94,7.6866780663689,1325
