K,N,Publishhed_G-eff,G-PSO_Design
1,3,100,[-2.6704703052612337e-6; -1.0; 1.0]
1,4,82.91796067,[-0.4858682715106822; 0.48586827178121017; 1.0; -1.0]
1,5,80.5762884,[-0.7287836391092134; 0.7287881420672454; 1.0; 2.3424552972021276e-5; -1.0]
1,6,100,[-1.0; 1.0; -1.0; -2.2220808396029222e-7; 1.0932889941428232e-6; 1.0]
1,7,91.16687054,[0.4885140719827337; 1.500168685492786e-5; -1.0; 1.0; -0.4885102932911238; -1.0; 1.0]
1,8,89.12587648,[-0.7320457740770263; 0.7320556720978284; -0.00027672796100567564; -1.0; 1.0; 0.9999999057576399; 0.0003589385094912971; -1.0]
1,9,100,[-1.0; 1.0; -5.1370066755560414e-6; 1.0; 2.026667603546508e-6; -1.5102033264551235e-7; -1.0; 0.9999999999952914; -1.0]
2,6,75.03044975,[0.17030087162924815 -0.21244490641568772; -0.5079431632696131 0.9999994648605898; -0.8557190575325034 -0.9691315280363174; 0.9977983816447024 0.830995957569407; 0.9999998764844229 -0.9999994400816095; -0.9999998664977112 0.5363924518991028]
2,7,80.23871376,[0.9999999993089373 -0.6125262285631338; 0.9999560209028107 0.9248716818163063; 0.02579112530493838 0.7724882023644585; -1.0 1.0; -0.7738216286478816 -0.03485346832916485; -0.9523909201350965 -1.0; 0.5943031952945398 -0.9999999754292527]
2,8,87.94295936,[-1.0 0.9999999450192435; 0.9999999885817099 -0.9999999963224402; 1.0 0.07395788079506489; -0.9999944039212569 -0.07297652526453714; 0.9999999965677807 0.9999999984155181; 0.08927757339952148 -0.8213920973661265; -0.08968472783097055 0.82068091682287; -0.9999999336396265 -0.9999999585604299]
2,9,86.63357972,[0.43545270481660864 -0.999999999292402; -1.0 -0.999999999998453; -0.9999999922879341 0.9999999906507475; 0.9999999983871765 -1.0; 0.999999999797963 0.999999999702114; -0.9999999904240932 -0.4354411676633113; 1.0 0.43545285991863875; 7.651884763483992e-5 2.0781406767840585e-5; -0.43544145611985113 1.0]
2,10,87.40318798,[-0.999999998330306 0.2601474832609134; 0.9999571688395132 -0.6178979999270598; 0.9999999983007057 0.5408037969773489; -0.538653016982615 -1.0; -1.0 1.0; 0.9994064125763643 -0.9999999854995065; 0.09645946282380663 -0.16578198477560308; 0.9999999999207605 0.9999999948561946; -0.9999999999436527 -0.9999999989457623; -0.2895194793945476 0.9999998788201063]
2,11,87.07026497,[-0.6564043974495003 -0.9999998455747953; 0.4440125964054387 0.9985828917870605; -0.9999999813135536 -0.9999999181174601; 0.9999999571934142 0.36527955020033576; 0.9999999691048276 0.9999991048816969; 0.6888454698661031 -0.9992589891659229; 0.9999999432557386 -0.9999972535112627; -0.9236138786188192 -0.03252001245003785; -0.6901523427230092 0.9762888965584009; -1.0 0.9999980738866668; 0.022237010726263214 -0.04057071425384724]
2,12,88.17186608,[-0.1393352904157733 0.0024696372210285724; -0.9999998311866494 0.9998070967302971; 1.0 -0.9999999906670839; -0.9999983010258232 -0.9999999709017791; 0.25881154468679823 0.9999801791793667; 0.9999998926510035 0.629226509619014; -0.999991995366269 0.9999335848699595; 0.9999890483156856 -0.647163774640884; -0.8993908629393715 0.007285067803795959; 0.2131160682144849 -0.9995567466539573; -0.9999997793574793 -0.9689279878171557; 0.9999991788663976 0.9999990043668173]
3,10,71.42526881,[0.12316834070895792 -0.9999997861227928 -0.9999998196983463; 0.99999903202199 -0.9999964483019446 -0.2309693414789306; 0.9999992682224813 0.6477519966335564 -0.9999997443013452; -0.9999962776877815 0.8392069454896209 0.9999799813908451; 0.020483859610390603 0.27361384756126533 0.13188972148172942; -1.0 -0.5110740016317799 -0.904441000976348; 0.7972621884290849 -0.746052757020993 0.9999997293563659; 0.999831711581694 0.9999999816901931 0.8264298595982921; -0.7601238140527349 0.9999998475407883 -0.8855732789068913; -0.8833401596809216 -0.9999998847373658 0.744737917038466]
3,11,80.50945366,[-0.9999913731334894 0.9998745731838198 0.9999999274928485; 0.972844223895695 -0.9777794014116178 -0.8477195693375549; -0.9501274234154966 0.8510565518309471 -0.9999998196434157; 0.016123033757732344 0.9999996893637105 -0.3224477144820308; -0.8711718018262146 -0.9999900028877797 0.9541297241780189; 0.999999047101946 0.7244639814415406 -0.9999977626059663; -0.7241700821560517 -0.9999988929280218 -0.9999995021644227; -0.9999978704642604 -0.31219596876873656 -0.08382625840067451; 0.2845969368574596 0.008597803053536324 1.0; 0.9999979802076964 0.999995993713841 0.8519424754189574; 0.9999791370526275 -0.9831247432211745 0.8067472503539591]
3,12,83.34896899,[0.05722363814761427 -1.0 0.034209353873977416; -0.9999999315707682 0.01606969081412542 0.05268540288340921; 0.9999996998264371 -0.9761355111901167 0.8744721950358687; -0.9999999316851488 -0.9999278448642575 0.9999985490011946; 0.9999999442203291 0.9126396784873146 -0.7971229690371243; 0.6368134972592029 0.1647054891045076 0.999999804230016; 0.9999581691807715 -0.8425791948068324 -0.9999999050318512; 0.9190463965963638 0.9999999968324925 0.7397212613548333; -1.0 -0.9999998304772947 -1.0; -0.8395200832749184 0.9999997852686825 0.9999992340466887; -0.9999997688216377 0.9991942505662906 -0.8379132095122545; -0.0069968641931614445 0.6209023238037276 -0.9999999511186203]
3,13,86.45575525,[0.12160319699946981 0.2312016920281903 0.9999958878437115; -0.9999998282454537 -0.9949674840169709 -0.99999922589802; -0.9999985971351789 -0.14928054745757666 0.12469079307651551; 0.2083654456062426 -0.9999963042574266 -0.22701500629227567; 0.5350436094617936 1.0 -0.999997924600692; -0.9999996797444413 -0.9999996107623695 0.9999999416122545; 0.9994746611182069 -1.0 0.9999971818814497; -0.9999953727677676 0.9999991127656861 0.9946872875766483; 0.9999388915475056 0.9999937686869954 -0.04834585481791688; 0.8705087588423132 -1.0 -0.854204745538736; 0.9989927474609985 -0.01355881527832259 -0.9999853038960949; -0.9870061783411427 0.9511491405912753 -0.9481762448946031; 0.8893902554548235 0.8584067252126197 0.9999913232887828]
3,14,89.70625984,[0.09942966456435899 0.06158950971608466 -0.9999997585428886; -0.9999999355788588 1.0 0.9999998777570567; 0.9999999566015312 -0.22999863891146438 0.10973610272611212; -0.9999998439593387 0.30240197177665207 -0.0649029997367342; 0.9999998548315048 -1.0 -0.9999999999841694; -0.9999999998528152 -0.9993914884095985 -1.0; 0.2856167626309789 0.9999999858792477 0.09885245533369044; -0.222313732394835 -0.9999995207120803 -0.1719362293047938; -0.999999955158376 -0.9999999998933593 0.9999999943645131; 0.9999991870066173 0.9999999272391139 0.99999997858743; -0.1347889944311324 -0.15758910468360984 0.9999999996627259; 0.9999998841670429 -0.999999955530609 0.9999999996144863; -0.999999817353917 0.9999887379050418 -0.9999992585794515; 0.9999999999488667 0.9999999999641842 -0.999999990221733]
3,15,85.99300944,[-0.2706143193179379 -0.003035444859879542 -0.9999996315931844; -0.9999999996077431 0.9999999792608106 -1.0; -0.18019744770676885 1.0 0.12189089459539919; -0.9999999899500499 -0.9999999553395105 -0.9999993671466969; -0.225494848937318 -0.07406693051012572 0.9999999624310559; -0.999999994580397 -0.9999997554202695 0.9999998963860283; 0.9999993018091831 0.04668178223198296 -0.6435239775062761; 0.9843812448071284 0.9999999975223312 -0.999999998156337; 0.9999990332302271 0.01420717041162101 0.5191788428709949; -0.9999999999797665 0.9999999880529398 0.9999999997306099; 0.9999991022308642 0.9999999901397333 0.9999999999991395; -0.999999640511173 0.022400089365309933 -0.059552866326805357; 0.9999998783267179 -0.9999995213355231 -0.9999998836861678; 0.9999999806802469 -0.9999999999999891 1.0; -0.165151152064925 -0.9999995934667697 0.06408472366285592]
3,16,85.78755006,[-0.9999998707240806 0.9999999503958439 -1.0; -0.1436476679228309 -0.5054296985262069 -0.9999974403643399; -0.9999999889436392 -0.9999995594762782 -0.9999999894343102; 0.9999960783112957 0.9999985797086333 -0.99999920844481; 1.0 -0.9999999816159423 0.3538648446830719; 0.4441255239921492 0.9997625362300947 0.15380703095867332; 0.9946950019741719 0.03263173174261973 -0.9357126994454315; 0.2938140399467212 -0.9999997379211539 0.9999996616602804; 0.9999999899197901 0.9999542896738882 0.9999995334296968; -0.9999995251770808 -0.9999999420185316 0.972469567742112; -0.9999999830234942 0.9999880759757129 0.9999999996347907; -0.6529136095474831 0.34444969257281455 0.9998934616406124; 0.9999996367612232 -0.38828888725432026 0.9999999942283153; -0.5681747690430768 0.9073512602071061 -0.7316206248497361; 0.9087306331979499 -0.9999999494870119 -0.9999992930246163; -0.9999999999999497 -0.4591522962562763 0.024147937511716146]
4,15,71.08636272,[0.30293518868552016 0.8874812189280574 0.2865575872013089 0.4233546140371316; -0.9898049626153983 -0.9999999999984499 0.969023744247255 0.4948405366599949; 0.9999999976999743 0.9999999891162621 -0.9836143480089461 1.0; -0.9999990769294738 0.9999992605877037 0.4416575210316066 -0.999997857575893; 0.99999952297896 -0.5320568257836074 -0.9999999999972095 -0.2730914759008907; 0.9839496281710259 -0.9999999651926403 0.4725418236368101 -0.9999992682545152; 0.3098841859533568 -0.9999999260430718 -0.9999999865115664 0.9999999541261881; -0.4194413384037929 -0.3641115162374874 1.0 -0.9999895610328362; 1.0 0.9999999985493426 0.9999998047434939 -0.7915032714005729; -0.9999999877492618 -0.9999999719347603 -0.9999997810073228 -0.9999963716690514; -0.9999993079704778 -0.3296645027000505 -0.4507337097680556 0.9999999999152698; -0.9712285259454073 0.999999991882158 -0.9999999604859299 0.410810808998595; 0.9999999991122086 -0.6080884771380592 0.9999999990103788 0.9999999666324909; -0.8813609543608101 0.9999998920720632 0.999999808462628 0.9999999571825974; 0.5559903407745884 0.8999405441962286 -0.9999999810123781 -1.0]
